user_id,movie_id,rating,timestamp
179412,167786,3.5,1501829870
199634,60040,3.0,1501829623
85434,1013,4.0,1501828883
85434,82169,3.0,1501828746
85434,3210,2.0,1501828739
85434,170705,5.0,1501828648
164422,96811,4.5,1501828390
164019,2352,4.0,1501827702
241225,104767,4.5,1501827199
87981,89864,3.5,1501827003
201926,3752,3.0,1501827001
201926,4270,2.5,1501826991
201926,5991,4.0,1501826985
201926,33679,3.0,1501826963
201926,4848,3.5,1501826950
201926,4014,4.0,1501826932
201926,30707,4.0,1501826919
201926,4370,3.5,1501826914
201926,7254,4.0,1501826908
201926,45722,2.5,1501826904
201926,6934,3.0,1501826886
201926,54286,3.5,1501826870
201926,8665,3.5,1501826867
201926,3977,2.5,1501826860
201926,5378,2.5,1501826851
201926,8636,3.0,1501826845
201926,6365,3.0,1501826839
201926,5989,4.0,1501826834
201926,5418,4.0,1501826828
172687,16,3.5,1501826792
201926,86320,3.0,1501826769
201926,77866,4.5,1501826745
201926,2762,4.5,1501826705
56954,128512,3.0,1501826675
80922,1234,5.0,1501826635
238697,169166,4.0,1501826295
201926,1704,4.0,1501826279
201926,60684,4.0,1501826253
247841,176049,3.0,1501825830
177616,112171,5.0,1501825739
105094,74156,3.0,1501824961
223681,8910,5.0,1501824671
223681,1952,4.5,1501824661
223681,924,4.0,1501824391
136403,107883,4.0,1501824293
212734,61132,2.0,1501824283
212734,63113,4.5,1501824277
212734,2541,4.5,1501824266
251174,34048,2.0,1501824098
222290,68237,3.5,1501823980
201926,2716,4.0,1501823889
201926,260,4.0,1501823882
120332,3176,3.5,1501823534
251174,3275,3.0,1501823461
251174,5444,1.5,1501823426
120332,110,4.0,1501823366
120332,2028,4.0,1501823334
120332,1237,3.0,1501823326
120332,1732,3.5,1501823278
120332,1682,3.0,1501823273
120332,1259,2.0,1501823264
120332,1721,5.0,1501823257
120332,1246,3.0,1501823253
120332,1961,3.5,1501823242
120332,1089,2.5,1501823237
251174,2985,3.0,1501823237
201926,1206,2.5,1501823216
201926,1200,4.0,1501823208
83917,122926,4.5,1501823198
120332,778,1.5,1501823167
251174,1199,0.5,1501823158
201926,924,4.0,1501823152
201926,1732,4.0,1501823146
201926,1222,4.0,1501823131
120332,608,4.0,1501823046
120332,3147,2.5,1501823037
120332,1704,3.0,1501823013
120332,1221,5.0,1501822987
201926,778,4.5,1501822986
201926,541,4.5,1501822967
201926,2959,4.0,1501822961
201926,2571,4.5,1501822929
201926,3578,5.0,1501822923
201926,4973,4.5,1501822919
201926,32587,5.0,1501822908
120332,260,5.0,1501822900
201926,4308,4.5,1501822892
201926,68954,5.0,1501822891
201926,4344,3.5,1501822877
201926,7373,3.5,1501822871
201926,5015,4.0,1501822867
201926,6281,4.5,1501822863
251174,1584,2.5,1501822859
120332,2858,3.0,1501822757
120332,1198,4.0,1501822732
120332,4973,2.0,1501822731
120332,858,4.5,1501822728
120332,1196,5.0,1501822724
120332,50,5.0,1501822723
120332,2959,3.0,1501822719
120332,527,5.0,1501822717
120332,318,5.0,1501822715
201926,143355,3.5,1501822702
189131,7881,2.0,1501822684
201926,2761,4.5,1501822578
201926,173291,2.5,1501822504
741,158238,4.0,1501822366
741,8866,3.5,1501822222
741,167746,4.0,1501822173
53582,3873,3.0,1501821956
62283,91976,4.0,1501821703
62283,96861,4.0,1501821685
62283,96811,4.5,1501821672
62283,85788,3.0,1501821670
62283,111113,3.5,1501821664
62283,85342,4.0,1501821661
62283,104241,3.5,1501821642
62283,93838,4.0,1501821636
62283,99007,4.0,1501821623
62283,92535,4.0,1501821621
62283,86345,4.5,1501821618
62283,104243,3.5,1501821608
62283,135536,3.5,1501821598
62283,112171,4.5,1501821589
62283,89753,4.0,1501821581
62283,78209,3.5,1501821573
62283,134368,3.5,1501821571
62283,119141,3.5,1501821548
62283,97923,3.5,1501821546
235074,122922,3.0,1501821543
62283,83134,5.0,1501821542
196893,3546,4.0,1501821490
251174,114935,4.0,1501821445
